Year Code,Single-Year Ages Code,Sex Code,Deaths,Population
2001.0,73,F,24644,972997
2001.0,73,M,29964,760633
2001.0,73,T,54608,1733630
2001.0,74,F,26229,953283
2001.0,74,M,30865,728731
2001.0,74,T,57094,1682014
2001.0,75,F,28150,925789
2001.0,75,M,32102,685103
2001.0,75,T,60252,1610892
2001.0,76,F,31023,925212
2001.0,76,M,33744,663891
2001.0,76,T,64767,1589103
2001.0,77,F,32466,885017
2001.0,77,M,34456,618080
2001.0,77,T,66922,1503097
2001.0,78,F,34009,833703
2001.0,78,M,34717,572230
2001.0,78,T,68726,1405933
2001.0,79,F,36718,808438
2001.0,79,M,36292,537950
2001.0,79,T,73010,1346388
2001.0,80,F,38619,762992
2001.0,80,M,35983,491840
2001.0,80,T,74602,1254832
2001.0,81,F,39167,714199
2001.0,81,M,35451,439939
2001.0,81,T,74618,1154138
2001.0,82,F,39090,622491
2001.0,82,M,33552,370580
2001.0,82,T,72642,993071
